Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW23,OUT018,324.9704399
FDM14,OUT018,1402.515379
FDM14,OUT013,1650.636275
FDW60,OUT018,2718.564215
FDE21,OUT013,2044.861863
NCM42,OUT035,1746.300812
FDY59,OUT010,193.6958662
DRI49,OUT049,1301.988911
FDT28,OUT019,250.9072548
FDQ22,OUT018,357.0903427
FDR60,OUT049,1302.408866
FDC50,OUT019,244.0276085
FDV24,OUT013,2194.294861
DRF48,OUT010,628.4452436
FDQ47,OUT046,668.9815404
DRN36,OUT049,1586.62094
NCY06,OUT035,2045.061832
FDE52,OUT035,1351.030284
NCB54,OUT045,1951.530507
NCF31,OUT035,2431.122739
FDJ08,OUT027,4936.562882
NCC07,OUT017,1615.837819
NCD19,OUT027,1266.738103
FDL46,OUT049,2036.081152
FDM20,OUT045,4058.761181
NCI06,OUT010,481.7609319
DRM11,OUT035,4499.302458
NCH07,OUT018,2332.336627
FDS23,OUT013,2146.004488
FDO49,OUT018,688.3066059
FDS35,OUT049,1002.509352
DRK39,OUT045,1352.869706
DRI39,OUT049,832.2134825
FDV04,OUT017,2406.224329
NCN14,OUT035,3205.172014
FDH08,OUT013,3940.549393
FDS20,OUT046,3406.390402
FDV40,OUT049,1001.325479
FDZ48,OUT010,221.616442
FDS24,OUT027,2272.217842
FDK44,OUT049,2709.211737
FDS48,OUT045,2736.797964
FDK26,OUT010,539.6120614
FDD23,OUT045,3136.77836
NCH54,OUT017,2655.592131
NCP14,OUT010,186.6272713
FDM60,OUT010,70.44084571
FDV24,OUT017,2391.101523
FDH08,OUT018,3391.32238
FDS12,OUT027,3541.509693
FDR39,OUT027,4921.652237
FDP12,OUT027,949.4369524
DRF60,OUT027,5752.88128
FDC09,OUT035,1692.562314
FDF50,OUT018,3147.220781
FDG28,OUT035,3968.593292
NCE19,OUT017,860.6522389
NCM53,OUT010,229.9758076
NCN18,OUT049,1759.192139
FDF32,OUT035,3016.087287
FDF11,OUT013,4166.004184
DRI59,OUT049,3859.546169
NCG54,OUT035,2747.755883
FDM44,OUT046,1678.256491
FDT57,OUT018,2986.608452
FDV24,OUT046,2283.997269
FDI50,OUT019,519.7007692
FDS09,OUT035,774.6058482
NCC31,OUT027,4014.418406
FDQ07,OUT019,626.646472
FDC22,OUT017,3223.993457
FDZ56,OUT046,2866.11078
FDZ40,OUT019,190.3057588
FDS46,OUT027,2801.536626
DRD24,OUT045,2112.899414
FDV45,OUT017,3117.495037
FDL26,OUT045,2734.909308
FDA56,OUT018,1773.708273
FDN27,OUT046,1902.067944
FDM20,OUT049,4133.227551
FDO16,OUT017,1652.211806
FDL03,OUT035,3045.976343
FDE58,OUT046,1917.391123
FDI02,OUT027,3730.470786
NCC55,OUT019,58.57688552
FDR03,OUT018,3252.303575
FDB14,OUT017,1449.618097
FDR45,OUT013,4212.443944
NCN07,OUT017,2058.107106
FDM51,OUT019,269.0731963
FDT52,OUT027,6432.680389
FDL26,OUT046,2700.598207
NCZ42,OUT046,3931.08224
DRI47,OUT019,384.3777407
FDW40,OUT013,2277.732833
FDN34,OUT046,3128.15346
FDS01,OUT035,3054.223724
NCG55,OUT045,1948.269044
FDC11,OUT035,1327.925835
FDX35,OUT018,2543.406669
NCB06,OUT046,2670.82095
FDR09,OUT019,561.7604
FDC53,OUT017,1558.207189
FDY45,OUT013,4141.935995
FDA22,OUT010,366.3810707
FDE02,OUT035,1570.366437
FDW21,OUT045,1733.322933
FDV34,OUT046,1164.233178
FDS59,OUT049,1795.253435
NCW17,OUT017,2238.288086
NCK54,OUT046,1987.856395
FDG17,OUT019,497.759077
FDG35,OUT017,3191.31026
FDD08,OUT010,69.25577004
NCO07,OUT017,4176.696822
FDJ10,OUT010,367.6818691
FDW36,OUT017,1679.050793
FDW21,OUT010,210.2353588
FDY19,OUT017,1955.895451
DRE03,OUT013,756.2448302
NCC55,OUT049,662.5567638
FDH52,OUT010,144.1805348
FDO09,OUT017,4245.683797
FDU43,OUT045,4088.366614
FDX09,OUT010,416.533105
FDH40,OUT019,209.2386923
FDW58,OUT017,1668.148404
FDC47,OUT017,3855.29539
NCR41,OUT035,1536.12763
DRG49,OUT035,4305.082193
FDC52,OUT027,3212.038685
FDY13,OUT046,1159.864689
FDY35,OUT013,688.5168099
FDI35,OUT017,3305.769531
NCU18,OUT049,2238.356606
FDY33,OUT018,2445.932658
FDC15,OUT027,3929.315183
FDU01,OUT049,3201.84365
NCU42,OUT046,2920.521627
NCV29,OUT018,2805.070456
NCY30,OUT017,3236.492313
FDQ46,OUT049,1761.700848
FDG58,OUT027,3539.800497
FDK33,OUT017,3905.440384
NCD07,OUT045,1655.078327
NCX29,OUT027,3963.844139
NCT42,OUT013,2278.056315
DRN59,OUT035,739.4386954
FDI44,OUT035,1302.106282
FDA45,OUT049,1984.176238
FDP31,OUT045,943.1515104
FDY01,OUT046,1899.463327
FDT09,OUT018,1947.206837
DRH03,OUT027,2343.945024
FDA36,OUT018,2892.967843
NCF31,OUT017,2343.433249
FDG14,OUT049,2384.515827
FDG28,OUT027,5846.902003
FDU14,OUT049,4140.296109
FDY47,OUT019,302.9845606
FDI56,OUT049,1322.338397
DRD01,OUT013,755.5358199
FDM22,OUT046,909.8696966
FDH33,OUT013,647.1081086
DRZ24,OUT013,1897.10849
NCQ38,OUT046,1636.756163
FDO16,OUT027,2419.788785
FDU07,OUT027,3837.751064
NCB07,OUT013,3018.513175
FDU48,OUT045,1983.673168
NCM43,OUT045,2774.236213
FDR31,OUT010,363.0745951
DRK49,OUT018,375.9062001
NCI30,OUT010,564.6176315
DRD60,OUT017,3137.753145
NCG19,OUT046,3361.754311
FDH12,OUT035,1689.274171
FDM32,OUT035,1449.755947
FDM27,OUT035,2651.287066
NCU53,OUT027,4648.043334
NCQ18,OUT046,1655.273089
FDS10,OUT013,2826.884686
FDB33,OUT027,4280.368963
FDI12,OUT013,1367.080913
NCW42,OUT013,3829.523689
NCC06,OUT018,1994.310488
FDW02,OUT017,2164.619434
NCD43,OUT017,1675.484121
FDM57,OUT018,1259.65894
FDA58,OUT017,3657.969164
FDK56,OUT046,3141.862517
FDP52,OUT045,3770.720223
FDW20,OUT018,1967.513128
FDS52,OUT049,1646.101804
NCT29,OUT018,1821.444947
NCL54,OUT013,2873.494494
FDC05,OUT045,2940.246372
FDF34,OUT035,2959.156877
FDP03,OUT027,3073.990995
FDD32,OUT010,218.2599396
FDZ10,OUT045,2162.945198
FDZ40,OUT035,844.7524174
FDD51,OUT018,423.3880112
NCY30,OUT019,387.4274001
FDP58,OUT017,3581.43429
FDV49,OUT017,4353.610557
FDY24,OUT019,152.1023525
NCO55,OUT017,1690.933219
FDR13,OUT017,1819.95327
FDS51,OUT017,966.0264966
FDP26,OUT045,1662.353399
NCB54,OUT027,3948.070672
FDF32,OUT017,3018.254533
FDN31,OUT018,2861.327902
DRM48,OUT017,631.9023276
FDN20,OUT049,2915.344511
DRL01,OUT046,3648.898086
FDV56,OUT049,1640.616073
DRH13,OUT027,2705.730381
FDA03,OUT017,2496.855312
FDF47,OUT027,5317.013126
FDX32,OUT046,2652.603233
FDX57,OUT049,1602.184791
NCA30,OUT045,3045.897797
FDO49,OUT013,722.4593663
FDL04,OUT019,223.7541704
DRM48,OUT035,626.6336774
FDR16,OUT013,4338.60664
NCC19,OUT018,3054.904754
NCE42,OUT045,3488.097826
FDY24,OUT017,993.4203759
FDH19,OUT049,2722.324106
FDJ46,OUT013,2790.211153
FDN45,OUT010,615.2482773
FDY08,OUT035,2142.542161
FDZ37,OUT035,1340.299021
NCT30,OUT045,757.9841119
DRY23,OUT018,437.8131318
NCZ30,OUT018,1786.393937
FDC44,OUT018,1716.013999
FDB45,OUT035,1580.04737
FDY04,OUT013,2601.074656
FDM27,OUT046,2772.905014
FDZ43,OUT017,3975.602461
FDT39,OUT019,379.639073
NCC06,OUT019,321.7191327
FDL15,OUT027,4186.38207
FDL57,OUT017,4348.923702
FDU08,OUT046,1564.469107
FDK40,OUT017,4319.891588
FDQ12,OUT010,569.4189228
FDS48,OUT017,2641.955898
FDP09,OUT045,3733.213338
FDW21,OUT049,1653.179061
FDY25,OUT035,3164.660708
DRE13,OUT017,1413.858942
FDV43,OUT019,63.26673578
FDD22,OUT045,1731.904657
FDM46,OUT019,372.0512526
NCO30,OUT010,506.8875413
FDM25,OUT046,2825.411132
NCN41,OUT049,2046.899454
FDU24,OUT045,1805.766952
FDZ50,OUT046,3181.356976
FDP45,OUT013,4111.664356
NCM54,OUT045,2017.462631
FDW10,OUT019,394.9239565
FDP20,OUT017,2022.045713
FDK32,OUT046,2614.823638
FDN52,OUT049,1330.860803
FDM58,OUT045,1803.877131
FDZ46,OUT027,2610.027353
NCA18,OUT018,1666.959311
FDD35,OUT046,2134.760095
NCK31,OUT035,721.4374833
FDI40,OUT027,2951.981093
FDT50,OUT019,233.4246867
NCT06,OUT046,2631.322962
FDT31,OUT035,3070.78245
FDT45,OUT049,808.5108177
FDT13,OUT045,3185.422198
FDO50,OUT045,1349.197561
NCU18,OUT010,295.1461644
NCR54,OUT049,3040.450128
NCO18,OUT018,2749.454143
FDU09,OUT045,793.9822246
FDT13,OUT018,2926.648859
FDE09,OUT046,1694.312719
NCK53,OUT019,280.7168647
FDG45,OUT049,3730.308527
DRH15,OUT035,751.0659009
FDO21,OUT019,542.9084503
FDD14,OUT027,5930.985078
FDC09,OUT046,1686.777295
FDH45,OUT027,899.3525101
FDV32,OUT046,1116.467425
FDG12,OUT035,1887.704473
FDS32,OUT013,2127.514841
NCL55,OUT018,3520.791067
DRE01,OUT035,3807.864491
DRE15,OUT049,1325.541865
NCL42,OUT045,4035.050724
FDP31,OUT013,987.9244688
FDN33,OUT018,1270.763575
FDZ59,OUT046,2519.579436
FDE45,OUT010,378.9125506
FDJ07,OUT013,1920.957877
FDQ45,OUT018,2783.707541
FDM33,OUT027,4258.598298
FDO15,OUT010,160.6449469
FDM46,OUT013,1455.154294
FDR03,OUT045,3341.702733
FDY49,OUT018,2716.881385
FDQ60,OUT045,1827.048816
FDW10,OUT049,2646.553476
FDO51,OUT049,719.4448177
FDJ40,OUT018,1454.711803
FDS20,OUT018,2957.973081
FDU45,OUT013,1980.942001
FDV02,OUT035,2703.86247
FDN09,OUT046,4035.174351
NCM55,OUT027,5334.445943
FDN23,OUT018,2307.321596
FDY31,OUT010,435.8575237
FDW03,OUT010,246.0147075
FDD14,OUT046,3152.674186
FDV23,OUT017,2005.559639
DRI03,OUT045,2865.465225
FDN13,OUT035,1485.759899
FDF45,OUT027,1522.298359
FDU46,OUT035,1346.046021
FDB57,OUT049,3853.396353
FDV12,OUT049,1651.193943
FDQ58,OUT013,2237.937867
NCA18,OUT017,1696.276605
FDH52,OUT049,844.2915925
FDM24,OUT018,2277.354857
NCP43,OUT027,4385.532929
NCO18,OUT019,419.5871963
FDM32,OUT017,1343.169386
NCL07,OUT017,635.2611649
FDK03,OUT013,4384.539735
FDP59,OUT017,1524.543792
FDQ24,OUT049,4110.192135
FDQ16,OUT018,1420.645159
FDU44,OUT013,2562.563149
FDH28,OUT010,94.06120728
FDV28,OUT019,93.43749082
FDM22,OUT045,888.9589744
FDR56,OUT046,3112.338757
FDV39,OUT049,2995.751857
FDU37,OUT019,203.7517845
FDQ11,OUT010,833.0817453
FDX02,OUT045,3905.137264
NCS42,OUT018,1345.11666
FDY57,OUT027,2764.125859
FDB21,OUT049,3752.43346
FDE28,OUT017,3712.315649
FDQ55,OUT017,2225.891572
FDA48,OUT049,3721.455705
FDZ19,OUT045,2775.058963
NCC43,OUT045,3871.692347
NCV18,OUT046,1974.766744
NCA42,OUT018,2670.46844
FDY45,OUT046,4082.552551
NCC30,OUT045,2913.279319
FDM57,OUT013,1311.862437
FDL09,OUT010,459.7515533
FDB09,OUT027,3658.567372
FDT44,OUT035,1887.738026
NCT06,OUT027,4168.60146
FDX26,OUT049,3189.385905
FDK32,OUT013,2589.684548
DRA12,OUT046,2190.327991
FDO46,OUT010,519.7791968
FDE52,OUT013,1331.023817
NCH42,OUT045,4026.040288
FDV08,OUT035,682.1711321
FDB47,OUT018,3199.565145
FDC28,OUT010,186.6589007
FDD22,OUT046,1881.827523
FDS07,OUT027,3207.424951
DRI13,OUT045,3633.710537
FDG32,OUT018,3729.149143
FDU14,OUT017,4045.621743
FDD28,OUT019,159.1334596
NCP41,OUT017,1654.306648
FDS08,OUT049,2630.561919
FDX47,OUT045,2371.086965
FDC53,OUT019,245.3932775
FDQ19,OUT035,3768.48286
FDL14,OUT045,2368.5872
FDM33,OUT019,571.2275382
FDA51,OUT045,1974.756502
FDZ27,OUT018,682.1096045
FDT04,OUT046,648.2658325
DRC13,OUT049,1970.119179
FDR16,OUT027,4857.607809
FDQ03,OUT027,6215.931911
FDE38,OUT035,2614.438698
DRH23,OUT027,1741.080937
FDT11,OUT019,490.3257886
FDD09,OUT035,2995.813644
FDR40,OUT045,1430.583136
FDX07,OUT017,3161.678789
FDR07,OUT035,1469.283923
FDA51,OUT017,1894.381639
FDT59,OUT019,574.5016193
FDF20,OUT017,3123.643697
FDR13,OUT045,1894.19651
FDY26,OUT049,4574.944587
FDW04,OUT017,1988.975564
FDK52,OUT017,3875.596092
FDN60,OUT049,2917.891947
FDM09,OUT019,395.2915269
FDP46,OUT049,1313.242049
FDB50,OUT019,257.0020796
NCQ29,OUT049,3911.94516
FDP16,OUT027,7068.986156
FDX33,OUT018,2272.800659
FDP07,OUT010,589.7676999
FDN22,OUT046,3900.754999
FDF39,OUT049,3700.935747
FDS21,OUT017,924.1386207
NCM42,OUT013,1776.401764
FDK50,OUT019,426.4346961
DRF13,OUT027,3667.453723
FDH35,OUT018,2206.104812
FDP60,OUT018,1417.519739
DRJ49,OUT027,3269.977027
NCT42,OUT019,342.4928822
FDE38,OUT049,2608.528958
FDI04,OUT049,2928.520309
NCH54,OUT045,2823.243179
FDT56,OUT049,915.9060582
DRD15,OUT018,3042.051838
FDV58,OUT013,2778.378303
FDP21,OUT049,3362.671763
FDH05,OUT013,3704.656674
FDR10,OUT027,4655.338153
NCP06,OUT045,2350.683169
FDF33,OUT049,1702.716346
DRK37,OUT013,3476.960377
DRH49,OUT045,1239.82328
FDT58,OUT013,2610.407371
FDD41,OUT018,1608.625384
FDP40,OUT018,1741.797074
FDM51,OUT027,2613.790562
FDO45,OUT010,209.1691527
FDW33,OUT010,207.337371
FDY24,OUT045,933.7371928
FDB10,OUT010,598.1077959
FDM40,OUT035,2126.280215
NCI06,OUT017,3159.543318
FDW12,OUT019,314.8930182
FDX48,OUT027,3805.59185
NCW05,OUT027,2554.646173
FDX27,OUT017,1559.489736
DRM37,OUT045,3029.047001
FDA38,OUT045,3977.767394
FDR36,OUT046,697.7439724
FDZ45,OUT046,3073.832835
FDG05,OUT017,2472.940282
FDK28,OUT013,4694.534654
FDV47,OUT045,1317.890162
FDN21,OUT045,2528.270679
FDP20,OUT027,3488.52598
FDI35,OUT045,3291.959996
DRY23,OUT013,629.9139537
FDA56,OUT017,2044.795202
FDB09,OUT013,2043.682579
NCO26,OUT027,2995.051622
FDQ49,OUT018,2359.889584
FDI52,OUT027,2845.553042
FDZ44,OUT027,2771.130675
FDZ09,OUT018,2416.398595
FDY03,OUT049,2046.006549
NCG42,OUT017,2059.499537
DRI13,OUT027,5951.972628
FDQ32,OUT013,2129.488264
FDW16,OUT035,1326.686721
FDU27,OUT046,790.7092267
FDR28,OUT010,425.358952
FDQ49,OUT010,292.8533211
FDS37,OUT046,1897.289769
FDW26,OUT018,3206.739242
FDX12,OUT018,3273.898548
NCP06,OUT013,2377.091098
FDW45,OUT010,295.0492519
NCN30,OUT049,1527.157572
FDN24,OUT049,849.3001986
NCL41,OUT027,986.3784502
FDR02,OUT019,303.673683
FDD09,OUT010,444.3023318
FDS33,OUT010,169.8758988
FDU22,OUT045,2007.892501
FDI53,OUT013,2485.648883
DRH01,OUT049,2747.509996
FDX32,OUT013,2256.553055
NCP30,OUT018,431.1748729
FDB60,OUT045,3073.856792
FDB14,OUT049,1509.740708
NCP02,OUT035,773.9126575
FDJ10,OUT017,2059.57086
FDG34,OUT046,1799.979432
NCB18,OUT017,1343.02638
FDM16,OUT049,1198.00163
FDW25,OUT018,1356.444653
FDB35,OUT010,224.0822557
DRN11,OUT013,2252.509749
FDF41,OUT019,538.7473917
FDH16,OUT045,1323.519064
NCQ50,OUT018,2932.431049
DRH23,OUT018,806.4456042
DRJ37,OUT013,2270.627656
DRJ24,OUT027,5607.10655
FDY16,OUT035,3178.572948
FDQ27,OUT045,1955.714332
FDZ33,OUT045,2433.536455
FDF29,OUT045,2162.117057
FDA08,OUT049,2519.350763
FDG31,OUT046,1079.68976
FDE34,OUT019,428.1814202
NCR30,OUT027,2097.145737
FDV33,OUT035,4208.388707
DRZ24,OUT018,1717.065987
NCL54,OUT035,2853.605682
FDR12,OUT049,2830.545006
NCC54,OUT046,3877.287589
DRN59,OUT013,789.1870601
FDX50,OUT019,240.7395829
FDV31,OUT027,4845.496388
NCA29,OUT027,5540.570828
FDW60,OUT049,2951.13798
FDX08,OUT017,3310.779548
DRD49,OUT013,3639.19718
FDD33,OUT046,3702.011002
FDW35,OUT013,680.0737281
FDJ36,OUT017,1704.912421
FDV51,OUT035,2703.980244
FDW36,OUT046,1669.704232
FDH35,OUT046,2408.095755
NCS30,OUT027,3143.501881
FDN49,OUT017,635.5450688
FDL08,OUT018,3051.562213
FDI09,OUT013,3525.86749
FDP19,OUT018,2007.212764
FDU21,OUT010,99.23356258
NCP41,OUT045,1638.290296
FDY10,OUT013,1825.558733
FDP12,OUT018,414.8755974
NCN26,OUT049,1931.485874
FDK44,OUT013,2711.660589
FDC28,OUT049,1672.75579
FDJ41,OUT027,5826.639459
NCT29,OUT035,1960.007027
NCH42,OUT019,525.9150993
FDU60,OUT018,2838.403203
FDS02,OUT045,3254.308227
FDC51,OUT046,2122.506372
FDU03,OUT013,3192.196968
FDX39,OUT045,3888.45724
NCY05,OUT010,87.7351993
NCL06,OUT027,5771.268811
FDD32,OUT035,1190.426596
NCN41,OUT045,1989.892858
NCX53,OUT049,2264.139186
FDU57,OUT019,280.7337617
FDQ23,OUT046,1717.160933
FDQ52,OUT045,4188.555877
FDC14,OUT045,658.9365176
FDY09,OUT035,2995.221293
FDQ28,OUT045,2677.414807
FDV25,OUT046,4328.273225
FDJ07,OUT035,1931.094389
DRB25,OUT049,1673.288211
FDK52,OUT019,573.3566314
FDY52,OUT027,1591.220092
FDB28,OUT046,2880.519735
FDT36,OUT035,635.0652488
FDV25,OUT017,4253.900166
NCN07,OUT027,3720.212302
FDC57,OUT017,3187.175213
FDQ03,OUT018,3006.534757
FDU23,OUT017,2914.5843
NCX41,OUT035,3781.550035
NCD06,OUT035,756.9319677
FDW08,OUT045,1684.638342
NCU29,OUT017,2551.95051
NCE06,OUT013,2344.800057
FDV52,OUT010,253.3318046
FDB02,OUT017,2914.481422
NCR18,OUT045,638.5203845
FDK16,OUT049,1561.158867
NCQ29,OUT010,678.9479488
FDZ01,OUT019,211.2009844
FDW27,OUT035,2296.157039
FDD17,OUT018,3142.497332
FDW39,OUT013,2787.32923
DRH59,OUT045,1050.234679
FDS52,OUT013,1639.419623
FDU40,OUT027,5145.386294
NCF54,OUT013,2714.415986
FDH46,OUT045,1708.885435
NCP14,OUT049,1763.711142
FDH50,OUT049,3236.367802
DRF15,OUT010,300.2271271
FDV27,OUT027,2201.870178
NCJ06,OUT049,2086.590555
FDN02,OUT018,3345.857006
FDQ51,OUT049,761.1204609
FDQ07,OUT017,3808.072846
FDS45,OUT049,1949.11475
NCJ06,OUT045,2030.538922
FDD36,OUT035,1990.529876
FDY25,OUT045,3328.92066
FDU52,OUT046,2308.778194
DRK47,OUT017,3936.448103
NCL30,OUT017,2030.871016
FDN22,OUT035,3877.587926
NCF30,OUT027,3596.162632
FDK03,OUT035,4371.502524
FDT45,OUT017,856.957453
NCC54,OUT027,5762.554753
FDP08,OUT018,3007.775117
FDU44,OUT046,2612.013171
DRG39,OUT035,830.1084865
FDU32,OUT049,2002.692882
FDY27,OUT049,2968.8469
NCP54,OUT013,2094.771293
NCZ41,OUT049,1957.718313
DRL49,OUT013,2062.354834
FDI05,OUT018,1340.674688
FDY56,OUT045,4112.710836
DRC13,OUT013,1959.060256
NCV29,OUT017,3014.655578
FDR24,OUT049,1325.893014
FDZ34,OUT018,2981.065712
FDP37,OUT035,2050.633644
FDX08,OUT027,4655.920778
FDS57,OUT045,2123.800039
NCG18,OUT049,1685.932328
FDK25,OUT018,2608.457433
FDH53,OUT049,1228.967287
DRI59,OUT018,3160.633262
FDA52,OUT046,2712.854048
FDT20,OUT010,66.35984651
FDE36,OUT019,430.2598285
FDI24,OUT017,2809.262641
FDB28,OUT018,2997.272858
FDV11,OUT017,2811.062455
FDP01,OUT046,2311.305953
FDD34,OUT027,3807.172665
FDJ50,OUT027,1135.462618
FDZ44,OUT013,1815.98192
DRO59,OUT035,1239.551163
DRB48,OUT045,636.2531757
FDR21,OUT018,2708.377792
NCE42,OUT010,469.9175042
FDO23,OUT046,1479.968313
NCE30,OUT018,3148.415488
FDQ22,OUT035,594.7954799
FDY01,OUT045,1885.929778
FDS08,OUT017,2647.420946
FDG28,OUT018,2901.992519
FDQ51,OUT018,678.0988432
FDB05,OUT017,3854.386323
FDO56,OUT049,1896.132748
FDE02,OUT018,1279.170403
FDN45,OUT017,3712.949456
FDS09,OUT013,734.3503249
NCA54,OUT018,2900.520476
FDP09,OUT010,527.0796321
FDC53,OUT045,1569.534107
NCM55,OUT017,3173.328233
FDL09,OUT018,2532.906351
FDA11,OUT019,221.4254231
FDA50,OUT045,1574.7603
FDC23,OUT017,2981.745475
FDE22,OUT049,2554.79766
FDD23,OUT046,3177.756743
NCA29,OUT049,2944.537242
FDK38,OUT046,2312.777986
DRC13,OUT046,1967.55699
NCP43,OUT049,2846.565843
FDX28,OUT049,1566.312667
FDF08,OUT049,1345.528471
FDZ33,OUT046,2378.055121
FDD10,OUT049,2621.234455
FDO58,OUT017,2543.947298
FDI50,OUT017,4114.418767
FDO58,OUT045,2565.174906
FDX08,OUT013,3168.821196
NCK17,OUT010,69.28086356
FDF39,OUT035,4571.013966
FDU45,OUT010,249.7677421
NCJ18,OUT018,1764.21797
DRC27,OUT019,636.4150485
DRC25,OUT035,1479.628587
FDU59,OUT035,2308.613419
FDU28,OUT035,3148.354496
NCP30,OUT046,663.8529828
FDB39,OUT018,789.6808231
FDE41,OUT013,1331.184114
DRH11,OUT010,141.1984787
FDA58,OUT045,3631.773824
FDU50,OUT046,1689.566489
FDM34,OUT013,2097.346948
FDM44,OUT027,2413.40853
FDR39,OUT045,3161.257437
FDM25,OUT045,2742.734458
FDQ49,OUT049,2418.481457
DRH25,OUT018,862.3359216
FDM09,OUT027,4212.905029
FDL44,OUT019,450.5544157
NCR42,OUT018,375.350739
DRL59,OUT046,847.4537067
FDX43,OUT013,2525.069674
DRK47,OUT010,485.282262
FDU48,OUT018,1753.399768
FDY12,OUT045,788.7857919
NCN43,OUT018,1751.12008
NCM55,OUT018,2834.41903
FDQ21,OUT027,3296.447224
FDX13,OUT035,4205.016614
NCK30,OUT027,5365.410827
FDG20,OUT049,2702.787775
DRG27,OUT017,695.3107872
FDY14,OUT018,4296.09581
FDP59,OUT035,1520.848093
FDU60,OUT017,3282.426566
NCC18,OUT019,500.1372089
DRJ39,OUT017,3936.459188
FDS07,OUT049,1942.636796
FDM08,OUT027,5598.669658
FDP51,OUT045,2003.245924
FDU16,OUT035,1398.144561
FDH12,OUT013,1698.110141
DRE48,OUT010,498.5412574
